Year ending,Units,All Motor Vehicles
1994-12-01,Billion vehicle miles,261.90
1995-03-01,Billion vehicle miles,263.20
1995-06-01,Billion vehicle miles,264.70
1995-09-01,Billion vehicle miles,266.10
1995-12-01,Billion vehicle miles,267.00
1996-03-01,Billion vehicle miles,268.90
1996-06-01,Billion vehicle miles,270.60
1996-09-01,Billion vehicle miles,272.50
1996-12-01,Billion vehicle miles,274.10
1997-03-01,Billion vehicle miles,274.70
1997-06-01,Billion vehicle miles,276.50
1997-09-01,Billion vehicle miles,277.80
1997-12-01,Billion vehicle miles,279.80
1998-03-01,Billion vehicle miles,281.80
1998-06-01,Billion vehicle miles,282.40
1998-09-01,Billion vehicle miles,283.80
1998-12-01,Billion vehicle miles,284.90
1999-03-01,Billion vehicle miles,286.00
1999-06-01,Billion vehicle miles,287.60
1999-09-01,Billion vehicle miles,288.80
1999-12-01,Billion vehicle miles,290.20
2000-03-01,Billion vehicle miles,291.70
2000-06-01,Billion vehicle miles,291.90
2000-09-01,Billion vehicle miles,289.80
2000-12-01,Billion vehicle miles,289.60
2001-03-01,Billion vehicle miles,288.80
2001-06-01,Billion vehicle miles,289.50
2001-09-01,Billion vehicle miles,291.80
2001-12-01,Billion vehicle miles,293.50
2002-03-01,Billion vehicle miles,295.30
2002-06-01,Billion vehicle miles,296.70
2002-09-01,Billion vehicle miles,299.10
2002-12-01,Billion vehicle miles,300.20
2003-03-01,Billion vehicle miles,300.80
2003-06-01,Billion vehicle miles,301.00
2003-09-01,Billion vehicle miles,301.50
2003-12-01,Billion vehicle miles,302.00
2004-03-01,Billion vehicle miles,303.40
2004-06-01,Billion vehicle miles,304.80
2004-09-01,Billion vehicle miles,304.70
2004-12-01,Billion vehicle miles,305.70
2005-03-01,Billion vehicle miles,304.90
2005-06-01,Billion vehicle miles,305.30
2005-09-01,Billion vehicle miles,305.90
2005-12-01,Billion vehicle miles,305.80
2006-03-01,Billion vehicle miles,307.70
2006-06-01,Billion vehicle miles,308.30
2006-09-01,Billion vehicle miles,309.00
2006-12-01,Billion vehicle miles,310.40
2007-03-01,Billion vehicle miles,311.30
2007-06-01,Billion vehicle miles,312.40
2007-09-01,Billion vehicle miles,312.90
2007-12-01,Billion vehicle miles,313.30
2008-03-01,Billion vehicle miles,313.70
2008-06-01,Billion vehicle miles,313.30
2008-09-01,Billion vehicle miles,311.80
2008-12-01,Billion vehicle miles,310.50
2009-03-01,Billion vehicle miles,308.20
2009-06-01,Billion vehicle miles,307.60
2009-09-01,Billion vehicle miles,308.10
2009-12-01,Billion vehicle miles,307.30
2010-03-01,Billion vehicle miles,305.80
2010-06-01,Billion vehicle miles,305.40
2010-09-01,Billion vehicle miles,305.60
2010-12-01,Billion vehicle miles,303.20
2011-03-01,Billion vehicle miles,304.20
2011-06-01,Billion vehicle miles,303.20
2011-09-01,Billion vehicle miles,302.20
2011-12-01,Billion vehicle miles,304.30
2012-03-01,Billion vehicle miles,305.40
2012-06-01,Billion vehicle miles,304.70
2012-09-01,Billion vehicle miles,304.30
2012-12-01,Billion vehicle miles,304.60
2013-03-01,Billion vehicle miles,302.80
2013-06-01,Billion vehicle miles,303.80
2013-09-01,Billion vehicle miles,304.10
2013-12-01,Billion vehicle miles,305.80
2014-03-01,Billion vehicle miles,308.90
2014-06-01,Billion vehicle miles,310.70
2014-09-01,Billion vehicle miles,312.60
2014-12-01,Billion vehicle miles,314.50
2015-03-01,Billion vehicle miles,315.50
2015-06-01,Billion vehicle miles,317.10
2015-09-01,Billion vehicle miles,318.60
2015-12-01,Billion vehicle miles,320.40
2016-03-01,Billion vehicle miles,323.30
2016-06-01,Billion vehicle miles,325.20
2016-09-01,Billion vehicle miles,327.10
2016-12-01,Billion vehicle miles,327.90
2017-03-01,Billion vehicle miles,328.60
2017-06-01,Billion vehicle miles,330.20
2017-09-01,Billion vehicle miles,330.90
2017-12-01,Billion vehicle miles,332.50
2018-03-01,Billion vehicle miles,331.90
2018-06-01,Billion vehicle miles,332.80
2018-09-01,Billion vehicle miles,333.40
2018-12-01,Billion vehicle miles,334.20
2019-03-01,Billion vehicle miles,336.30
2019-06-01,Billion vehicle miles,337.00
2019-09-01,Billion vehicle miles,338.60
2019-12-01,Billion vehicle miles,338.60
2020-03-01,Billion vehicle miles,334.60
2020-06-01,Billion vehicle miles,293.90
2020-09-01,Billion vehicle miles,282.30
2020-12-01,Billion vehicle miles,265.90
2021-03-01,Billion vehicle miles,246.00
2021-06-01,Billion vehicle miles,279.20
2021-09-01,Billion vehicle miles,286.10
2021-12-01,Billion vehicle miles,297.60
2022-03-01,Billion vehicle miles,317.40
2022-06-01,Billion vehicle miles,321.20
2022-09-01,Billion vehicle miles,322.30
2022-12-01,Billion vehicle miles,323.70
2023-03-01,Billion vehicle miles,325.60
2023-06-01,Billion vehicle miles,327.40
2023-09-01,Billion vehicle miles,329.20
2023-12-01,Billion vehicle miles,330.80
2024-03-01,Billion vehicle miles,332.40
2024-06-01,Billion vehicle miles,332.90