Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27882,37,-0.1,33.1,-0.1,15.30,24.10,29.30,32.40,35.00,37.50,37.60,39.10,40.00,42.30,2024-01-01
"Managers, directors and senior officials",3035,37.5,0,36.3,0,28.70,35.00,35.00,35.60,37.00,37.50,39.90,40.00,40.00,42.50,2024-01-01
Corporate managers and directors,2386,37.5,0,36,0.1,28.30,x,35.00,35.00,37.00,37.50,39.10,40.00,40.00,41.40,2024-01-01
Other managers and proprietors,649,37.7,-0.8,37.5,-0.4,29.30,35.00,36.00,37.00,37.50,39.90,40.00,40.00,41.40,45.00,2024-01-01
Professional occupations,7930,36.9,-0.2,33.6,-0.7,21.00,30.00,32.50,34.00,35.00,37.40,37.50,37.50,37.60,40.00,2024-01-01
"Science, research, engineering and technology professionals",1892,37.5,0,37,-0.5,35.00,35.40,36.50,37.00,37.10,37.50,37.90,38.80,39.90,40.00,2024-01-01
Health professionals,2068,37.4,-0.2,32.2,0,15.00,22.70,25.80,30.00,35.00,37.50,37.50,37.50,37.80,40.00,2024-01-01
Teaching and other educational professionals,1725,32.5,0,29,-0.4,14.30,22.10,25.00,27.50,32.40,32.50,35.00,35.00,35.50,37.00,2024-01-01
"Business, media and public service professionals",2245,37,0,35.5,-0.1,30.00,35.00,35.00,35.00,36.10,37.40,37.50,37.50,37.90,40.00,2024-01-01
Associate professional occupations,4329,37,0.1,35,-0.4,22.40,34.00,35.00,35.00,36.90,37.50,38.00,39.90,40.00,41.10,2024-01-01
"Science, engineering and technology associate professionals",810,37.5,0,37.3,0.2,32.50,35.00,36.40,36.90,37.00,37.50,39.10,40.00,40.00,42.50,2024-01-01
Health and social care associate professionals,679,35,0,31.4,1,16.40,22.50,25.30,29.50,34.00,36.90,37.00,37.40,37.50,39.90,2024-01-01
Protective service occupations,407,40,0,40.1,0,36.00,37.90,39.90,x,40.00,40.40,41.90,42.20,43.00,46.20,2024-01-01
"Culture, media and sports occupations",283,35,0,27.4,-2.5,4.60,9.70,13.80,18.70,29.80,37.00,37.50,37.50,38.60,40.00,2024-01-01
Business and public service associate professionals,2150,37,0,35.4,-0.7,27.00,35.00,35.00,35.00,36.90,37.50,37.50,38.00,39.90,40.00,2024-01-01
Administrative and secretarial occupations,2776,35,0,31,0.4,14.90,21.00,24.00,27.80,34.00,37.00,37.50,37.50,37.50,40.00,2024-01-01
Administrative occupations,2286,36.1,0,31.7,0.5,15.00,22.40,25.50,30.00,35.00,37.00,37.50,37.50,37.70,40.00,2024-01-01
Secretarial and related occupations,490,30,-0.2,27.8,-0.4,11.30,16.90,19.80,21.40,25.00,35.00,36.80,37.10,37.50,39.90,2024-01-01
Skilled trades occupations,1686,40,0,38.9,0.1,27.50,36.00,37.00,37.40,38.60,40.00,42.00,43.00,44.60,48.00,2024-01-01
Skilled agricultural and related trades,103,38.3,-1.8,36.2,-2.1,20.70,33.00,35.90,36.80,37.40,40.00,40.00,40.50,41.50,45.00,2024-01-01
"Skilled metal, electrical and electronic trades",870,40,0,40.8,0.2,35.80,37.00,37.50,37.90,39.20,40.70,42.50,44.00,45.00,48.90,2024-01-01
Skilled construction and building trades,298,40,0,39.9,0.1,35.00,37.00,37.50,38.00,39.70,40.00,42.00,42.80,44.30,48.00,2024-01-01
"Textiles, printing and other skilled trades",415,37.5,0.1,34.9,0.4,17.90,24.80,28.00,30.60,35.00,39.90,40.10,41.80,43.50,48.00,2024-01-01
"Caring, leisure and other service occupations",2429,31.5,1.6,29.6,1.2,11.20,18.00,20.50,22.90,27.80,35.00,37.40,37.50,38.60,43.50,2024-01-01
Caring personal service occupations,2021,31.5,1.6,29.9,1.4,11.50,18.50,21.00,23.00,28.00,35.00,37.40,37.50,38.60,44.20,2024-01-01
"Leisure, travel and related personal service occupations",386,30,0,28,-0.1,9.70,15.50,17.50,20.00,25.00,35.40,37.40,37.50,39.00,40.50,2024-01-01
Community and civil enforcement occupations,23,36.9,-0.2,34.3,-1.1,19.90,32.40,35.00,36.00,36.40,x,37.00,37.30,38.60,x,2024-01-01
Sales and customer service occupations,1692,26.8,0.4,26.4,-0.8,10.00,14.90,16.10,18.00,22.00,32.00,36.50,37.40,37.50,40.00,2024-01-01
Sales occupations,1261,23.6,-1.5,24.8,-1.8,9.20,13.50,15.20,16.30,19.90,28.50,33.50,36.30,37.50,40.00,2024-01-01
Customer service occupations,431,35.4,1.2,31.1,0.8,15.00,20.80,24.00,27.20,34.50,37.00,37.50,37.50,37.90,40.00,2024-01-01
"Process, plant and machine operatives",1363,40,0,40.1,0,24.00,35.10,37.00,37.50,39.00,42.00,44.70,45.90,48.00,52.60,2024-01-01
"Process, plant and machine operatives",644,39.7,-0.1,38.9,0.3,28.70,36.00,37.00,37.50,38.50,40.00,41.90,42.90,44.10,48.00,2024-01-01
Transport and mobile machine drivers and operatives,719,41.8,-0.2,41.1,-0.1,22.10,35.00,37.00,37.90,40.00,44.80,47.40,48.10,50.00,56.00,2024-01-01
Elementary occupations,2641,27.5,-3.5,26.7,-1.8,6.70,11.20,13.70,15.90,20.50,35.00,37.50,39.00,40.00,44.00,2024-01-01
Elementary trades and related occupations,255,39.2,0.2,37.1,0.1,17.90,31.20,34.70,36.70,37.90,40.00,41.90,43.00,44.70,48.70,2024-01-01
Elementary administration and service occupations,2387,25,-0.8,25.6,-1.6,6.30,10.50,12.60,15.00,19.90,32.00,37.00,38.00,39.90,42.80,2024-01-01
North East,947,37,0,32.9,0,15.90,23.50,27.40,31.30,35.00,37.50,37.60,39.00,39.90,42.00,2024-01-01
"North East,  Managers, directors and senior officials",81,37.5,0,35.5,-1.1,24.00,34.00,35.00,36.00,37.00,37.50,39.10,40.00,40.00,41.50,2024-01-01
"North East, Corporate managers and directors",62,37.5,0,35.3,-2,23.80,35.00,35.00,36.00,37.00,37.50,39.00,39.80,40.00,x,2024-01-01
"North East, Other managers and proprietors",19,37.5,0,36.2,1.8,26.30,30.00,33.90,36.00,37.00,39.00,40.00,40.00,40.00,x,2024-01-01
"North East,  Professional occupations",224,37,0,33.7,-0.4,22.00,30.00,32.50,34.00,35.90,37.40,x,37.50,37.60,39.90,2024-01-01
"North East, Science, research, engineering and technology professionals",52,37.5,0,36.8,-0.7,34.70,35.00,36.00,36.90,37.00,37.50,37.70,38.20,39.90,x,2024-01-01
"North East, Health professionals",68,37.5,0.2,33,-1.4,18.80,24.00,30.00,32.50,37.30,x,x,37.50,38.00,x,2024-01-01
"North East, Teaching and other educational professionals",44,32.5,-0.1,29.6,1.1,17.60,24.40,24.90,26.00,32.40,32.50,34.70,37.00,37.00,x,2024-01-01
"North East, Business, media and public service professionals",61,36.9,-0.2,34.7,-0.7,26.30,34.90,35.00,35.00,36.30,37.00,37.40,37.50,37.50,x,2024-01-01
"North East,  Associate professional occupations",155,37,0,35.3,0.2,22.40,34.70,35.00,36.80,37.00,37.50,38.00,39.80,40.00,41.80,2024-01-01
"North East, Science, engineering and technology associate professionals",31,37,-0.8,37.2,-0.1,34.50,36.50,36.90,36.90,37.00,37.50,38.20,39.10,40.00,x,2024-01-01
"North East, Health and social care associate professionals",28,36.2,-2,30.8,-2.3,15.00,19.90,22.50,26.90,34.50,37.00,x,x,37.00,x,2024-01-01
"North East, Protective service occupations",22,40,0.1,40.8,0,37.00,39.60,x,39.90,x,41.10,42.00,42.00,42.20,x,2024-01-01
"North East, Business and public service associate professionals",68,37,0,35.5,0.4,25.00,35.00,35.00,36.20,37.00,37.50,x,37.50,38.60,x,2024-01-01
"North East,  Administrative and secretarial occupations",106,36.2,-1.5,31.2,-1.2,15.10,22.00,24.00,26.50,32.40,37.00,37.40,37.50,37.50,40.00,2024-01-01
"North East, Administrative occupations",89,36.9,0,31.9,-1.3,15.90,22.50,25.00,29.60,35.00,37.00,37.50,37.50,37.50,40.00,2024-01-01
"North East, Secretarial and related occupations",17,28.5,-5.2,27.5,-0.6,x,17.40,21.00,22.50,25.10,33.80,35.00,37.00,37.50,x,2024-01-01
"North East,  Skilled trades occupations",65,39,0.3,38.7,0.9,28.40,35.90,37.00,37.40,38.00,40.00,40.90,42.20,44.00,48.40,2024-01-01
"North East, Skilled metal, electrical and electronic trades",34,40,0.8,41.4,1.1,36.70,37.50,37.60,38.00,38.90,40.20,42.30,44.00,45.50,x,2024-01-01
"North East, Skilled construction and building trades",13,39,0,39,0.9,31.90,36.90,37.00,37.40,x,40.00,40.00,40.80,41.70,x,2024-01-01
"North East, Textiles, printing and other skilled trades",15,35.8,-3.3,33.8,0.1,x,24.00,26.80,29.70,33.90,37.10,39.70,40.00,41.30,x,2024-01-01
"North East,  Caring, leisure and other service occupations",84,32.5,-2.1,29.7,-4.1,11.50,18.20,20.40,22.50,27.60,36.70,37.00,37.50,38.00,44.00,2024-01-01
"North East, Caring personal service occupations",71,32.5,-2.8,29.9,-5.4,11.50,18.50,21.30,22.50,28.50,36.00,37.10,37.50,38.60,44.30,2024-01-01
"North East, Leisure, travel and related personal service occupations",12,30,-0.2,27.8,1.2,x,15.70,16.60,20.00,25.10,36.90,37.00,x,x,x,2024-01-01
"North East,  Sales and customer service occupations",75,28.1,8.2,27.5,3.5,12.40,16.20,18.10,20.00,23.60,33.30,36.90,37.40,37.50,40.00,2024-01-01
"North East, Sales occupations",54,23.9,1.6,25.6,2.1,11.50,15.20,16.20,17.50,20.60,29.30,34.00,36.60,37.50,40.00,2024-01-01
"North East, Customer service occupations",22,36.1,3.1,32.5,7.3,19.90,24.50,25.30,29.40,35.00,36.90,37.50,37.50,37.90,x,2024-01-01
"North East,  Process, plant and machine operatives",57,40,0,40.8,0.6,30.50,37.00,37.50,37.50,39.00,41.00,43.90,45.00,47.00,52.10,2024-01-01
"North East, Process, plant and machine operatives",31,39.1,-2.1,39.6,-0.7,34.40,37.00,37.50,37.50,38.50,40.00,40.90,41.90,43.20,x,2024-01-01
"North East, Transport and mobile machine drivers and operatives",26,41.8,3,42.3,2.1,24.00,36.90,37.50,38.20,40.00,45.00,47.50,48.00,50.00,x,2024-01-01
"North East,  Elementary occupations",100,24,-5.2,25.7,0.5,6.40,10.30,12.50,14.70,18.40,33.00,37.50,39.10,40.00,43.30,2024-01-01
"North East, Elementary trades and related occupations",10,39.7,3,38.5,6.6,x,34.70,37.00,37.70,39.00,40.00,41.00,43.50,x,x,2024-01-01
"North East, Elementary administration and service occupations",89,20.9,-6.7,24.3,-0.2,6.00,10.00,11.60,13.50,17.00,29.10,37.00,37.50,39.90,42.00,2024-01-01
North West,2931,37,0,33.4,0.2,16.10,25.00,30.00,32.50,35.00,37.50,37.60,39.00,40.00,42.50,2024-01-01
"North West, Managers, directors and senior officials",293,37.5,0,36.3,-0.3,28.00,35.00,35.00,35.90,37.00,37.60,39.90,40.00,40.00,42.50,2024-01-01
"North West, Corporate managers and directors",225,37.4,-0.1,36,0.3,28.00,x,35.00,35.40,37.00,37.50,38.90,39.90,40.00,42.30,2024-01-01
"North West, Other managers and proprietors",68,38.8,-0.2,37.6,-2.7,28.80,35.00,35.80,36.80,37.50,40.00,40.00,40.40,41.40,x,2024-01-01
"North West, Professional occupations",793,37,0,34.1,-0.9,22.50,30.70,32.50,34.50,35.00,37.50,37.50,37.50,37.80,40.00,2024-01-01
"North West, Science, research, engineering and technology professionals",180,37.5,0,37,-1,35.00,36.00,36.70,37.00,37.00,37.50,37.90,38.60,39.80,40.50,2024-01-01
"North West, Health professionals",231,37.5,0,34.4,1.5,21.90,28.00,30.30,34.90,37.50,37.50,37.50,37.50,39.20,42.10,2024-01-01
"North West, Teaching and other educational professionals",171,32.4,-0.2,29.1,-2,16.00,24.30,26.00,27.50,32.10,32.50,32.50,35.00,35.00,36.90,2024-01-01
"North West, Business, media and public service professionals",211,37,0,35.6,-1.2,30.00,35.00,x,35.00,36.20,37.30,37.50,37.50,37.90,40.00,2024-01-01
"North West, Associate professional occupations",447,37.2,0.4,35.5,1.2,24.90,35.00,35.00,35.20,37.00,37.50,37.90,39.00,40.00,40.70,2024-01-01
"North West, Science, engineering and technology associate professionals",85,37.5,-0.1,37.2,0.4,35.00,35.10,36.30,36.90,37.00,37.50,38.80,40.00,40.00,41.80,2024-01-01
"North West, Health and social care associate professionals",74,35,0.1,32.1,3.5,17.80,25.00,28.80,30.50,35.00,36.80,37.00,37.50,37.50,x,2024-01-01
"North West, Protective service occupations",31,40,0,40.7,-0.8,36.70,37.90,39.90,x,x,40.20,41.00,41.90,42.00,x,2024-01-01
"North West, Culture, media and sports occupations",25,36.5,4.3,30.2,5.6,x,x,x,29.80,34.90,37.50,x,37.50,38.40,x,2024-01-01
"North West, Business and public service associate professionals",232,37.3,0.1,35.7,0.1,28.00,x,35.00,35.90,37.00,37.50,37.50,38.70,39.90,40.00,2024-01-01
"North West, Administrative and secretarial occupations",315,36,0,31.9,0.7,16.00,22.60,26.50,30.00,35.00,37.00,37.50,37.50,37.60,40.00,2024-01-01
"North West, Administrative occupations",262,36.5,-0.8,32.7,0.9,17.90,25.00,29.00,32.00,35.00,37.00,37.50,37.50,38.00,40.00,2024-01-01
"North West, Secretarial and related occupations",53,30.6,1.5,28.2,-1.2,12.00,18.80,20.30,22.10,25.90,35.00,36.80,37.40,37.50,39.80,2024-01-01
"North West, Skilled trades occupations",180,39.9,0,39.2,0.4,30.70,36.70,37.00,37.40,38.00,40.00,41.90,42.80,44.20,48.30,2024-01-01
"North West, Skilled agricultural and related trades",8,37.5,0.1,38.7,4.1,x,36.70,x,37.00,37.50,37.90,39.90,40.00,x,x,2024-01-01
"North West, Skilled metal, electrical and electronic trades",98,40,0,40.8,0.7,36.00,37.00,37.40,37.50,38.80,40.20,42.30,43.30,44.80,48.70,2024-01-01
"North West, Skilled construction and building trades",30,40,0.2,39.2,-1,35.00,37.00,37.50,37.50,39.00,40.00,40.40,41.90,42.70,x,2024-01-01
"North West, Textiles, printing and other skilled trades",43,39,4,35.4,0.3,16.50,23.50,27.70,32.00,36.00,40.00,41.60,43.00,44.40,x,2024-01-01
"North West, Caring, leisure and other service occupations",271,32.5,1.3,29.8,0.2,12.00,18.70,21.10,23.50,28.70,35.00,37.40,37.50,38.10,42.00,2024-01-01
"North West, Caring personal service occupations",229,32.5,1.5,30,0.4,12.00,19.20,21.50,23.90,28.80,35.00,37.40,37.50,38.00,42.80,2024-01-01
"North West, Leisure, travel and related personal service occupations",42,32,-2.9,28.6,0,x,16.80,19.80,21.10,26.70,35.70,37.40,37.50,39.00,x,2024-01-01
"North West, Sales and customer service occupations",182,28.3,-2.1,27,-1.8,11.30,15.70,16.60,18.60,22.90,32.80,36.50,37.40,37.50,40.00,2024-01-01
"North West, Sales occupations",130,24.3,-4.9,25.3,-2.9,10.00,14.50,16.00,16.60,20.00,29.90,34.30,36.80,37.50,40.00,2024-01-01
"North West, Customer service occupations",52,35,0,31.2,-0.7,15.60,21.40,24.00,27.90,32.40,36.70,37.40,37.50,37.50,x,2024-01-01
"North West, Process, plant and machine operatives",157,40,0,40.1,-0.4,24.00,35.00,36.50,37.40,38.80,42.00,45.00,46.50,48.00,53.50,2024-01-01
"North West, Process, plant and machine operatives",73,39,0,38.6,0.9,28.50,35.70,36.50,37.00,37.90,40.00,42.00,42.50,44.20,49.00,2024-01-01
"North West, Transport and mobile machine drivers and operatives",84,42.4,-0.2,41.5,-0.9,23.40,34.80,36.80,37.80,40.00,44.90,47.90,49.00,50.50,56.30,2024-01-01
"North West, Elementary occupations",296,28,-1,26.8,-1.2,7.00,11.50,14.30,16.00,21.20,34.70,37.50,38.90,40.00,43.60,2024-01-01
"North West, Elementary trades and related occupations",31,38.7,-0.7,36.8,0.4,17.20,32.00,34.50,35.90,37.50,40.00,41.20,42.30,43.90,x,2024-01-01
"North West, Elementary administration and service occupations",265,25,-4.8,25.7,-1.9,6.60,10.70,13.30,15.00,20.00,31.80,37.00,37.70,39.90,42.50,2024-01-01
Yorkshire and The Humber,2178,37,0,33.3,0.2,16.00,24.60,29.60,32.10,35.00,37.50,37.80,39.50,40.00,42.50,2024-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",213,37.5,0,36.4,0.2,28.00,35.00,35.00,36.70,37.00,37.90,39.90,40.00,40.00,42.50,2024-01-01
"Yorkshire and The Humber, Corporate managers and directors",165,37.5,0,36.2,1,27.80,35.00,35.00,36.50,37.00,37.60,39.80,40.00,40.00,41.90,2024-01-01
"Yorkshire and The Humber, Other managers and proprietors",48,37.5,-0.3,36.9,-2.8,25.90,35.00,36.30,36.90,37.00,39.50,40.00,40.00,40.10,x,2024-01-01
"Yorkshire and The Humber, Professional occupations",561,36.9,-0.2,33.8,-1.2,22.40,30.00,32.40,32.50,35.00,37.20,37.50,37.50,37.60,40.00,2024-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",117,37.5,-0.1,37.2,-0.7,34.80,35.00,36.10,36.90,37.00,37.50,37.50,38.40,39.90,40.50,2024-01-01
"Yorkshire and The Humber, Health professionals",155,37.5,0,33.2,1.6,18.90,25.00,30.00,31.10,36.50,37.50,x,37.60,37.80,40.40,2024-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",134,32.5,0,29.6,-1.1,18.40,24.20,26.00,29.40,32.30,32.50,32.50,35.00,36.50,x,2024-01-01
"Yorkshire and The Humber, Business, media and public service professionals",155,37,0,35.3,-0.8,28.00,x,35.00,35.00,36.60,37.00,x,37.50,37.50,x,2024-01-01
"Yorkshire and The Humber, Associate professional occupations",333,37,0,35.1,0.3,22.50,33.70,35.00,35.70,37.00,37.50,38.10,39.90,40.00,40.50,2024-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",65,37.5,0,37,-1.4,30.00,35.00,36.60,37.00,37.00,37.70,39.40,40.00,40.00,x,2024-01-01
"Yorkshire and The Humber, Health and social care associate professionals",64,36.8,5.1,31.6,2.6,18.00,22.50,26.70,30.00,34.50,37.00,x,37.00,37.50,x,2024-01-01
"Yorkshire and The Humber, Protective service occupations",30,40,0,39.8,-1.2,37.00,39.90,39.90,x,x,40.00,x,40.00,42.00,x,2024-01-01
"Yorkshire and The Humber, Culture, media and sports occupations",16,35.1,6.5,27.9,11.8,x,x,x,x,32.00,37.00,x,37.50,x,x,2024-01-01
"Yorkshire and The Humber, Business and public service associate professionals",158,37.3,0.1,35.6,0.1,27.00,35.00,35.00,36.50,37.00,37.50,37.50,38.50,39.90,40.00,2024-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",218,35,0,31,1,14.50,21.00,24.10,28.00,34.00,37.00,37.50,37.50,37.60,40.00,2024-01-01
"Yorkshire and The Humber, Administrative occupations",183,36.8,0.6,32,0.7,15.90,23.50,27.50,30.00,35.00,37.00,37.50,37.50,37.80,40.00,2024-01-01
"Yorkshire and The Humber, Secretarial and related occupations",35,26.4,-5.2,25.6,-0.5,9.10,14.70,16.20,18.60,22.50,30.10,35.00,35.90,37.00,x,2024-01-01
"Yorkshire and The Humber, Skilled trades occupations",152,40,0,39.2,-2.4,27.90,36.70,37.00,37.50,39.00,40.10,42.30,43.40,45.00,48.20,2024-01-01
"Yorkshire and The Humber, Skilled agricultural and related trades",5,37,0,34,-12.6,x,x,x,x,36.80,38.20,x,x,x,x,2024-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",82,40,0,41.3,-1,35.80,37.50,38.00,39.00,40.00,41.80,43.20,44.80,46.00,50.00,2024-01-01
"Yorkshire and The Humber, Skilled construction and building trades",30,40,0,40.6,-1.3,36.80,37.50,38.40,39.00,40.00,40.00,42.20,43.00,44.20,x,2024-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",34,36.9,-1.6,34.1,-5.2,17.00,24.80,27.80,29.90,34.00,38.40,40.00,40.30,41.80,x,2024-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",196,31.3,1.6,30.1,2.8,14.90,20.00,22.50,24.90,29.20,34.50,37.00,37.50,37.60,41.50,2024-01-01
"Yorkshire and The Humber, Caring personal service occupations",167,32,2.6,30.5,3.7,15.00,20.90,23.00,25.10,29.80,34.80,37.50,37.50,37.80,42.20,2024-01-01
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",26,29.9,-0.5,27.1,-3.4,12.20,16.00,17.00,18.80,26.00,31.30,35.00,37.00,37.50,x,2024-01-01
"Yorkshire and The Humber, Sales and customer service occupations",146,28.8,4.3,27.2,1.4,10.60,16.00,17.30,19.70,23.20,33.60,37.00,37.50,37.80,40.00,2024-01-01
"Yorkshire and The Humber, Sales occupations",106,25,2.5,25.8,2.3,9.40,14.90,16.00,17.80,21.00,30.00,35.10,37.00,37.70,40.00,2024-01-01
"Yorkshire and The Humber, Customer service occupations",40,35.4,1.2,30.9,-1.1,15.70,20.00,23.90,27.30,32.50,37.00,37.50,37.50,38.00,x,2024-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",126,40,0,41.3,0.1,28.50,36.00,37.40,37.50,39.90,42.00,44.80,47.00,48.50,55.00,2024-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",67,40,1.9,39.2,1.2,29.00,35.00,36.90,37.50,38.60,40.00,41.90,42.70,44.00,48.80,2024-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",60,42.5,0,43.6,-0.5,28.00,37.00,37.90,40.00,40.90,46.40,48.60,50.00,52.50,58.80,2024-01-01
"Yorkshire and The Humber, Elementary occupations",233,28.7,1.5,27.1,-0.2,7.10,11.50,14.00,16.00,21.00,36.00,38.00,39.80,40.00,44.00,2024-01-01
